location;barcode;amount;sku;urun adi
A-044;81300638476;2;FMKG5AKEXJHDWLOW8;FMKG5AKEXJH CORAP
A-044;27611285203;2;4XUB6UILO7OFGF59D;4XUB6UILO7O PANTOLON
A-048;80432348900;4;0KVOCIGI17N32R6VD;0KVOCIGI17N PANTOLON
A-048;50376759926;9;DMK7Q127VS5XQ8ZPC;DMK7Q127VS5 CORAP
A-048;20641507948;2;6I09PHZX6GAFVWNVK;6I09PHZX6GA CEKET
A-048;54310611013;1;BOK4T2DVMT1FCAP69;BOK4T2DVMT1 ELBISE
A-048;35916183779;10;2EBXYQ1ARS7KXJ17L;2EBXYQ1ARS7 SANDALET
A-049;58650468121;7;CMI96RF4WQG503NT6;CMI96RF4WQG ELBISE
A-049;98069559643;10;38X2EX3VEFOPX2OE5;38X2EX3VEFO ELBISE
A-049;94809609752;5;TONINU63N9X1DQ5TL;TONINU63N9X CANTA
A-049;45394130689;6;7OMEGRE171K3961JP;7OMEGRE171K T-SHIRT
A-050;58502862470;3;GQXH1BVGLK8TJK9OW;GQXH1BVGLK8 ELBISE
A-050;58779851610;10;SA6WDSLC16CXNWQA8;SA6WDSLC16C ELBISE
A-050;34750131768;2;1ZPVU8XC6TMXN42X5;1ZPVU8XC6TM CORAP
A-050;16140259750;3;025SQNDWMPJK76RW9;025SQNDWMPJ BERE
A-050;30367789707;10;3FWVJ3B5JS8Q1JC5Y;3FWVJ3B5JS8 SANDALET
A-050;85777137255;1;Q0F1PVZS6436XCGAZ;Q0F1PVZS643 CANTA
A-050;96657014618;2;U0OC5RTSMGAFGY4C9;U0OC5RTSMGA SORT
A-050;82897485163;10;IJWTWR329EAOCOJUK;IJWTWR329EA SISME MONT
A-058;82229491821;9;0SXGT1SG5W5VNCDP2;0SXGT1SG5W5 SANDALET
A-058;74386880601;1;C3RHQYIV7IHETW2BW;C3RHQYIV7IH ATKI
A-058;12926602921;10;9U98J2CVX7YF5AZJ9;9U98J2CVX7Y CANTA
A-058;50960808437;7;IVTLGBF9KNW8FPWHX;IVTLGBF9KNW HIRKA
A-058;48831605122;5;DPLEDN65MC3TXVXAB;DPLEDN65MC3 BERE
A-058;39004761856;8;8EJ32YENZYE53AZFR;8EJ32YENZYE HIRKA
A-058;77518162259;10;V56IA65D0ZDZ3LIZI;V56IA65D0ZD CORAP
A-058;74844046374;8;FFIJHQRUZDHPZOX5X;FFIJHQRUZDH ATKI
A-065;85767215018;5;KBIHJ7GH7C0MUT1BC;KBIHJ7GH7C0 AYAKKABI
A-065;71025386973;1;UD95XPAQ5UHL8FE79;UD95XPAQ5UH HIRKA
A-065;69531953853;8;SB6ZD36CALTFCCFA8;SB6ZD36CALT CANTA
A-065;85769817969;3;VS8WG8FXSWOX8IFJ7;VS8WG8FXSWO BERE
A-065;88582660154;4;V2XGC7J50GABPWBO7;V2XGC7J50GA ATKI
A-065;87152217336;8;HAUUHV0LZ8FUKMR0S;HAUUHV0LZ8F SISME MONT
A-065;10206431360;3;5JTMSR626CJQZZAUJ;5JTMSR626CJ SISME MONT
A-065;10559100192;1;NNA91MAM7KGG253RN;NNA91MAM7KG ATKI
A-065;67171315768;7;76X1UOLUSB8BR36HQ;76X1UOLUSB8 HIRKA
A-065;89150184772;4;UJBDWD4Z0F17YXFSQ;UJBDWD4Z0F1 T-SHIRT
A-065;44306465586;7;PBAO5HIEXMCON4BT0;PBAO5HIEXMC YELEK
A-066;18288348400;1;AUU4K5K6OM66DU335;AUU4K5K6OM6 PANTOLON
A-066;54348237976;3;OI0LY8YD7KDB4M5F6;OI0LY8YD7KD PATIK
A-066;86516026326;9;6JY2GZ9OSQH1QBI75;6JY2GZ9OSQH ELBISE
A-071;46654482693;10;7ONHTJYWO1XK2AZYW;7ONHTJYWO1X ATKI
A-080;76372504873;1;P3EIZDO700DPYFDSZ;P3EIZDO700D HIRKA
A-080;16140259750;6;025SQNDWMPJK76RW9;025SQNDWMPJ BERE
A-080;85769817969;4;VS8WG8FXSWOX8IFJ7;VS8WG8FXSWO BERE
A-081;74111476732;10;BOQXDEYT1GJJ280QV;BOQXDEYT1GJ ELBISE
A-081;81894613652;7;SBFHUHCSHTRXWVGC9;SBFHUHCSHTR ELBISE
A-081;94271532765;4;Z4Q2W9B1BG0RPBR99;Z4Q2W9B1BG0 BERE
A-081;44085654441;2;YFVOA83YKLUZDIPTQ;YFVOA83YKLU PATIK
A-081;22858308494;5;T77ITBF4RPSTHL8J4;T77ITBF4RPS TOKA
A-081;59726000812;3;DPW0HF6ZRO2PC8WIP;DPW0HF6ZRO2 T-SHIRT
A-081;45394130689;9;7OMEGRE171K3961JP;7OMEGRE171K T-SHIRT
A-084;41356609317;1;C587AX335I5QCMPWZ;C587AX335I5 YELEK
A-084;38559888538;3;17ANRT9XOKCHHDGPR;17ANRT9XOKC PATIK
A-088;27872399016;6;CKPH8I3J0JKHB6IEA;CKPH8I3J0JK CORAP
A-088;99180642272;7;NNDR0S1YGHDQTL8KT;NNDR0S1YGHD SANDALET
B-001;68488832508;5;P2IX04MY2IDA6SUDE;P2IX04MY2ID CANTA
B-001;31686782553;2;G8SOW43JUU4YSJEW8;G8SOW43JUU4 ATKI
B-009;68793283515;1;Q6UEHWO6WTTT5TKKZ;Q6UEHWO6WTT PANTOLON
B-009;81300638476;3;FMKG5AKEXJHDWLOW8;FMKG5AKEXJH CORAP
B-009;31845951358;9;82QY3TE3BA48ATJ2R;82QY3TE3BA4 CORAP
B-009;88973370899;9;0JLQ87JICXHMJHBJ0;0JLQ87JICXH AYAKKABI
B-009;88059783658;5;D7RL1RZJI9PS8ZQ9Q;D7RL1RZJI9P CORAP
B-009;55135677948;10;GAF9CG24AUXT1H4NT;GAF9CG24AUX PATIK
B-009;83442717516;1;BK3PE7G9UXE7NQY1K;BK3PE7G9UXE BERE
B-009;61904324137;2;QMXOXXPP8YCF42JIX;QMXOXXPP8YC CANTA
B-009;84974051728;2;2S236WG4IU5IDWPT1;2S236WG4IU5 ATKI
B-009;88059783658;3;D7RL1RZJI9PS8ZQ9Q;D7RL1RZJI9P CORAP
B-009;41848149164;4;J56CZ1V8LO35SDWOC;J56CZ1V8LO3 SISME MONT
B-010;43570896934;1;B7JKJN9NFB87X03X3;B7JKJN9NFB8 SISME MONT
B-010;15368968202;4;ZR826DVD35P6RH5X8;ZR826DVD35P BERE
B-010;46654482693;2;7ONHTJYWO1XK2AZYW;7ONHTJYWO1X ATKI
B-010;14710053174;7;TAVOIMND1ME8SXNFP;TAVOIMND1ME T-SHIRT
B-010;14692367451;2;YSD2Z70OD15KTLVUO;YSD2Z70OD15 TOKA
B-010;32456274424;4;H1NM67UXH0H21VXZC;H1NM67UXH0H SISME MONT
B-010;66265085588;3;YOD8ZBYN0BCF7FEWE;YOD8ZBYN0BC PATIK
B-010;16056551319;5;TR8U0IOSGJP0UAHIR;TR8U0IOSGJP SISME MONT
B-010;20841391096;2;QSHUI37NYL2YIZMYX;QSHUI37NYL2 ELBISE
B-013;87630741314;5;UVOWGAGGVVKFAJ3MK;UVOWGAGGVVK HIRKA
B-013;20829536198;4;9CZW62FMQ5NTFPYH6;9CZW62FMQ5N CORAP
B-013;75866262911;5;E40UZV8JL0X4UVYM6;E40UZV8JL0X AYAKKABI
B-013;77518162259;9;V56IA65D0ZDZ3LIZI;V56IA65D0ZD CORAP
B-013;39757412147;10;HYPHB6R8REDNNEYNU;HYPHB6R8RED ATKI
B-013;66450864998;5;PVM7RO785XXWO09CB;PVM7RO785XX SISME MONT
B-013;41744577765;7;JR52OT40D24UQXGGW;JR52OT40D24 TOKA
B-018;86675384833;5;3E7OZLFRO5JM1P6YB;3E7OZLFRO5J CANTA
B-018;32925572988;1;XSM7Q8TGTIXB7FBM2;XSM7Q8TGTIX HIRKA
B-020;21649274457;8;XS1VQNHEU43RNFY1E;XS1VQNHEU43 SORT
B-020;89155529725;3;HU09K1CT00EUYN3ZV;HU09K1CT00E CANTA
B-020;63244662535;4;6NKFNUO7MESRUN02F;6NKFNUO7MES ELBISE
B-020;14260343048;9;HT8J4NGK4JRW8V224;HT8J4NGK4JR PATIK
B-020;12257031498;9;B50ZVXC9FT75JQLV5;B50ZVXC9FT7 CORAP
B-023;56772837030;8;9CPGIEM4VR9ZKGPPU;9CPGIEM4VR9 SANDALET
B-026;49888733521;3;3KQ8JAYCGPCX823YP;3KQ8JAYCGPC ELBISE
B-026;58090650585;2;JPBI3UFPLFMVXEL21;JPBI3UFPLFM T-SHIRT
B-026;42866215500;8;RMOVD5MVB7JX4W2EW;RMOVD5MVB7J TOKA
B-026;13564862915;9;5ZKE20RFITC6KAHPY;5ZKE20RFITC CORAP
B-026;59252803949;5;GF0C5YQ5RMS7ABOQN;GF0C5YQ5RMS PATIK
B-026;83759318655;9;4CV8IEZPQ6WE0RKKH;4CV8IEZPQ6W ELBISE
B-026;74063085987;3;QVEWQZ3URPXD6VYG2;QVEWQZ3URPX PATIK
B-032;59146861686;8;YT4OQ0X2W2SFC4WRN;YT4OQ0X2W2S SISME MONT
B-032;18288348400;1;AUU4K5K6OM66DU335;AUU4K5K6OM6 PANTOLON
B-032;77531270453;1;B3AU5QF4BBKUD798W;B3AU5QF4BBK PATIK
B-036;18561906642;8;9SWCMDOC6D7C4IIOP;9SWCMDOC6D7 SANDALET
B-036;77506225033;5;LUQQFLTHT6OVV05D3;LUQQFLTHT6O SANDALET
B-036;39217490697;7;DM1BKJ17UV9XJVQX6;DM1BKJ17UV9 HIRKA
B-036;50934778004;1;I1LXZ8W4ZQ8CRWKT9;I1LXZ8W4ZQ8 SORT
B-036;94271532765;9;Z4Q2W9B1BG0RPBR99;Z4Q2W9B1BG0 BERE
B-036;44634808465;5;E9AKCP4EDX7DXPLMF;E9AKCP4EDX7 CORAP
B-040;29470481412;2;6G3OT1NRVW1DPIX3J;6G3OT1NRVW1 HIRKA
B-040;23792483873;5;ORGJNIX7MBNVHPO47;ORGJNIX7MBN CEKET
B-040;10261768508;2;SFQBLAAOUWA7GIRFL;SFQBLAAOUWA SANDALET
B-040;75866262911;3;E40UZV8JL0X4UVYM6;E40UZV8JL0X AYAKKABI
B-043;85054499094;9;12I0BK3SGUPYHP7SE;12I0BK3SGUP ATKI
B-043;25879711412;1;QL7MEIZ3J0RK0UYJT;QL7MEIZ3J0R ELBISE
B-043;45344355694;3;2ESOOMN878XW07231;2ESOOMN878X ATKI
B-043;40379412115;6;GYFXFARY52PS84JCX;GYFXFARY52P SORT
B-043;13335298583;7;U7PP8C208QKOCX1PU;U7PP8C208QK BERE
B-043;24398743469;1;M19FH2WYM5SBD0GMP;M19FH2WYM5S PANTOLON
B-043;69560629342;5;5G45Y60QBK0JKLY90;5G45Y60QBK0 T-SHIRT
B-043;88615463795;1;ZDR0TQB77DU8Y9DJ2;ZDR0TQB77DU AYAKKABI
B-043;76050392413;7;RB3V5GSSJ7UEYAT7M;RB3V5GSSJ7U T-SHIRT
B-043;13554398027;7;Y7TFZXD55U6YY8DTV;Y7TFZXD55U6 SORT
B-048;74233268720;8;ACZV9F0X33LMRB0VH;ACZV9F0X33L T-SHIRT
B-048;19336462769;7;I7O9QQAGK1SYJKFFT;I7O9QQAGK1S T-SHIRT
B-048;36161053522;8;FVQM7ZN52XAXGVJ0X;FVQM7ZN52XA AYAKKABI
B-048;46031664040;7;MXPVF3GVDOKSFGVQL;MXPVF3GVDOK T-SHIRT
B-050;73813173305;3;ZZIXSVY1JBPHU75Z1;ZZIXSVY1JBP AYAKKABI
B-050;76705763610;9;H8G53UQD97MPPT4Z5;H8G53UQD97M BERE
B-050;77706946253;5;EGSJA0JD78CC0NHSJ;EGSJA0JD78C AYAKKABI
B-050;72353390243;5;4ODL7NH6KIULDTMTP;4ODL7NH6KIU T-SHIRT
B-050;40619797396;5;382VM3UBVBMVDAI4E;382VM3UBVBM SANDALET
B-050;32457119701;7;8RY7ILJLP0WMAB2Z1;8RY7ILJLP0W ATKI
B-050;67581947583;8;DYEJ58T8LH24AII1H;DYEJ58T8LH2 CORAP
B-050;59807485608;9;C7O2H8G6GHD8KJHB7;C7O2H8G6GHD T-SHIRT
B-050;74544058908;1;EE6JCNAXV9II2G831;EE6JCNAXV9I PANTOLON
B-052;59437835456;10;2RK7X6ZJ98ZDXYO18;2RK7X6ZJ98Z ELBISE
B-052;39217490697;8;DM1BKJ17UV9XJVQX6;DM1BKJ17UV9 HIRKA
B-052;34774857531;8;BB6I3PBZKF191VWB4;BB6I3PBZKF1 ATKI
B-052;93211931167;9;QVT08H4O0KJDR7MN6;QVT08H4O0KJ HIRKA
B-052;78157049585;7;3834Z57MN6SF6PW3I;3834Z57MN6S T-SHIRT
B-052;47696308713;1;LLDYZXEH10JR8D0T9;LLDYZXEH10J ELBISE
B-052;72240734388;1;TIL8Z3XB12AJCS6OU;TIL8Z3XB12A CANTA
B-056;78721998850;10;X3A43JN7IQBV2LZ0O;X3A43JN7IQB T-SHIRT
B-056;20550640695;4;ILBI6L1OATZ2J7A91;ILBI6L1OATZ YELEK
B-058;95348555364;3;CZM6QWXG77UNT97AN;CZM6QWXG77U SORT
B-058;35043345962;9;JJA9L2U6UE5AHN1A3;JJA9L2U6UE5 T-SHIRT
B-058;50084188724;10;XE7GP0TISDIA4YB4G;XE7GP0TISDI PATIK
B-058;53373065572;10;H6RD9GENEBEP2CLSM;H6RD9GENEBE SISME MONT
B-058;48750711060;3;0426YW6DYDH9UDK34;0426YW6DYDH AYAKKABI
B-058;53318950600;9;EL68CKAGQTI70W8LW;EL68CKAGQTI TOKA
B-058;12663891033;3;1XK93YVVR0314TA87;1XK93YVVR03 PATIK
B-058;16829097135;10;QBNCKF1EJLNG08CHM;QBNCKF1EJLN SANDALET
B-058;28391902382;2;WS4KTQXHY8YTUBXUP;WS4KTQXHY8Y CORAP
B-069;46918787648;10;H4LCX2JR4CUTVIJFQ;H4LCX2JR4CU T-SHIRT
B-069;58012557082;8;QQC9D806UT13DVCTL;QQC9D806UT1 PATIK
B-069;16140259750;9;025SQNDWMPJK76RW9;025SQNDWMPJ BERE
B-069;39004761856;9;8EJ32YENZYE53AZFR;8EJ32YENZYE HIRKA
B-069;91868507334;7;MVP0XH4DLZRBAN3VW;MVP0XH4DLZR ELBISE
B-069;61900712393;10;JDX0D9ZMFL22VA29O;JDX0D9ZMFL2 AYAKKABI
B-069;83288717185;1;APNUQ720ADBR143QW;APNUQ720ADB BERE
B-075;96471612629;3;816JEJ95GJXP3U0YX;816JEJ95GJX ATKI
B-075;59437835456;2;2RK7X6ZJ98ZDXYO18;2RK7X6ZJ98Z ELBISE
B-075;63679484605;8;TDG8Y6I501VBDIOB2;TDG8Y6I501V CORAP
B-083;27426618776;6;UTFL0ADB5OR5IC0VG;UTFL0ADB5OR TOKA
B-083;44158945429;3;2M9CGJA17AZROW9WT;2M9CGJA17AZ PATIK
B-083;18523617544;9;IC0TNFO4FQDPIECTZ;IC0TNFO4FQD CEKET
B-083;80748885280;4;JDL2FMYAVXVU8NKVV;JDL2FMYAVXV SANDALET
B-083;55457675636;9;3W9EEBVCR8E5L81OL;3W9EEBVCR8E HIRKA
B-083;44634808465;1;E9AKCP4EDX7DXPLMF;E9AKCP4EDX7 CORAP
B-083;84974051728;7;2S236WG4IU5IDWPT1;2S236WG4IU5 ATKI
B-084;70939668545;8;2Y8MRDWMPRSU81J1E;2Y8MRDWMPRS CORAP
B-084;89883059977;9;BZ551FKRPAOYQXC1W;BZ551FKRPAO PANTOLON
B-084;77533440801;7;0LJJZVYWCP7MO3SN5;0LJJZVYWCP7 AYAKKABI
B-086;25602136039;8;D74CF078UCVTJXXRG;D74CF078UCV BERE
B-086;21214318247;6;OSKAT2SUU284ZOTAH;OSKAT2SUU28 PATIK
B-086;23027216827;9;JJPCT9OV83S8IULZX;JJPCT9OV83S SISME MONT
B-086;65348908271;1;EJEYIBHJP8UT1W6Q6;EJEYIBHJP8U SANDALET
B-086;48222140622;6;5OPJPPW9CRIUC61BY;5OPJPPW9CRI SISME MONT
B-086;44158945429;5;2M9CGJA17AZROW9WT;2M9CGJA17AZ PATIK
B-093;41139903470;9;DP3JFBHDRVF3JRZA0;DP3JFBHDRVF BERE
B-093;58779851610;5;SA6WDSLC16CXNWQA8;SA6WDSLC16C ELBISE
B-093;29672050562;5;NEA0J67F1WUCSGTF3;NEA0J67F1WU CANTA
C-001;93081453007;4;Q0RUWU1IW30W2RMTW;Q0RUWU1IW30 SORT
C-001;42053879929;1;EDX60N4FCQAI34OXV;EDX60N4FCQA SISME MONT
C-001;88748584952;10;EUMBLIC54O1P738H5;EUMBLIC54O1 CEKET
C-001;90474513432;8;RYZFH5VUJKDFVE1RV;RYZFH5VUJKD ATKI
C-001;41303213305;10;6CXIHDQP2QZADEEC4;6CXIHDQP2QZ CANTA
C-001;43454322791;7;684C47Q8LOLLJ5D20;684C47Q8LOL ELBISE
C-001;54608982994;2;Y23QRXYJHSYI3H91N;Y23QRXYJHSY TOKA
C-001;54798187809;9;O8W3HS45NU69GVLU9;O8W3HS45NU6 CEKET
C-001;92453579257;3;09AAHXZ93FL9XNG6W;09AAHXZ93FL CANTA
C-003;37339151745;8;MPIGQZNE7NZ5IWINZ;MPIGQZNE7NZ PANTOLON
C-003;61724252017;7;05L76BYDW2J4LC4Q7;05L76BYDW2J HIRKA
C-003;46123636173;9;N2J90AIXE9HJBK85A;N2J90AIXE9H YELEK
C-003;45073371085;6;OW8J995BOT6Q8FPGD;OW8J995BOT6 CORAP
C-003;59411284747;2;58P3Q7EUQ3931SV5J;58P3Q7EUQ39 HIRKA
C-011;89246609632;2;G16DQ2SV2D1ED4B71;G16DQ2SV2D1 AYAKKABI
C-015;88543748616;6;D9ZNCILF8GVSB26TA;D9ZNCILF8GV T-SHIRT
C-015;63869975346;4;FLKBHRE7TS4M2ZLA0;FLKBHRE7TS4 CORAP
C-015;11066239219;3;7HW6XAAN29QCD1KAC;7HW6XAAN29Q CORAP
C-015;21473818286;4;22GCH8WO72IFB8VLN;22GCH8WO72I PATIK
C-015;24398743469;3;M19FH2WYM5SBD0GMP;M19FH2WYM5S PANTOLON
C-015;27872399016;7;CKPH8I3J0JKHB6IEA;CKPH8I3J0JK CORAP
C-015;52779406473;7;HA79MTD2OG8ZBJ5L5;HA79MTD2OG8 CANTA
C-015;27426618776;1;UTFL0ADB5OR5IC0VG;UTFL0ADB5OR TOKA
C-015;87603596739;7;5LXJ7VYL7WM4H1O1G;5LXJ7VYL7WM PANTOLON
C-016;49733217376;9;0QWITLIAH14APC24Z;0QWITLIAH14 ELBISE
C-016;75862695198;8;29ML4TNIJVQTED6LI;29ML4TNIJVQ SISME MONT
C-016;68488832508;3;P2IX04MY2IDA6SUDE;P2IX04MY2ID CANTA
