barcode;amount
83870868701;2
23154816745;2
94386647663;9
96071904557;2
33960545839;7
84998983882;9
91818366946;1
20481079940;5
99289643389;2
16604116780;9
64452551163;8
11762222758;4
18427149801;5
26328837147;7
85271638174;1
85212488407;5
37075338467;3
79200164085;6
40459661667;10
74486885519;2
42973265370;1
47043761873;5
55379137745;6
37630940303;4
26286798224;5
29472770105;1
50165901843;9
81843106631;4
20643716154;8
26878196646;3
37819682818;10
37283892316;8
55113894610;7
83442717516;4
72036388148;7
51822334145;10
54249303014;9
62415289978;4
48580624254;3
55193266787;9
91760178979;8
25246675860;6
48339922946;3
10967780559;4
23802034551;3
88117330572;10
35111190130;8
74829652697;2
32537338044;1
67750402154;2
54048117740;9
39550497258;10
37698853337;8
53980156717;5
11066239219;10
54630867812;2
42690229710;7
25183099291;6
86307759906;7
92039429471;6
95612980931;4
77529215396;1
62131764808;4
54659915295;8
88748584952;7
76142864472;6
70578268949;5
38788165643;8
65550805641;10
24629406037;5
20263360234;8
99579760733;5
79640643523;4
28167851228;2
84582759742;8
88797047036;4
64569051186;5
32997000998;2
84240455718;7
48764134431;3
61281570955;10
53854706570;9
18325172836;1
89165174817;1
92355784523;6
83055303143;7
77027744443;9
91753421433;6
33145761171;6
22703894256;2
22266509503;6
22550446903;5
88466527059;9
26769272552;3
14458104125;10
52695195629;7
69739417852;9
37438291379;5
73496692478;7
65260918686;1
80412997014;6
49807103583;10
21900036237;1
57321726915;1
46531425595;3
99919162954;6
51462658492;2
23238237860;10
85271994290;8
87378195569;6
39419366215;9
34583849641;10
70282711858;5
52279537142;7
81411223549;1
89555067465;2
31001846877;10
42430399636;9
29797055465;9
33960545839;5
49707608617;6
92914420488;10
45649602355;2
42679766458;3
82608217018;1
65302726826;4
95932235630;8
10344485450;5
50688167315;4
49293191392;7
31401592563;3
51718060245;1
45933746375;4
56565288819;10
63828843150;8
11161746355;9
59838145236;8
88293727338;10
27777019788;10
82170105522;2
33577281742;5
16674773471;9
23345371775;8
83922377242;5
50773665264;6
64657795057;2
50477373003;10
88612575760;7
83642911338;4
79432571583;9
39674291990;4
51948305230;5
16596055832;5
81894613652;1
17964155952;9
20378886458;5
19886106077;3
41889529870;9
70490058280;7
85357959004;2
83227127827;6
54700453014;8
69632881900;10
94766953964;8
67700183053;1
41303213305;10
42546266439;6
76137339069;9
32196089980;9
64060203292;2
21872339837;6
52130956640;10
87237154328;4
96483720138;3
52793798665;8
19324187997;7
68501951509;10
41451794796;5
98963023019;1
38531374786;1
26926000418;9
65257926015;10
40595559309;8
29595262232;1
43064201119;3
99657232635;1
68220258879;4
30970649811;2
19090874369;3
11957916435;7
93176329627;10
77390032609;4
32157281411;2
62105975578;10
84194022111;4
24883981763;8
54628715819;8
55387995069;9
43971204702;4
94493847999;4
43408253838;9
61263880552;10
83061664744;5
72576583497;3
21520352635;3
45559613809;3
37569140122;2
49839671251;5
79716397362;2
52810596676;5
80159773961;9
39796042868;8
71244307962;2
96296740671;5
94874652615;10
30505065843;2
23345371775;1
59337202775;4
57957925698;9
37685605636;6
88973370899;6
46011649573;6
34556198294;3
15803274542;2
13684495064;5
24331092092;1
42344341106;5
91462640795;7
36914522660;1
29288332746;3
30736947366;7
48687217033;2
29156276090;10
81546125995;10
25382482219;1
87435233980;7
61241325959;9
65984690830;1
43363293245;6
53985856564;8
75969896863;1
98285269062;6
86518174328;4
83922377242;3
31122397265;9
36807343633;2
47022229671;1
11321390932;4
28734831982;9
24823417576;5
26335134023;4
25020328456;3
41632909920;8
28022758641;6
87539816973;2
80869715267;4
59995548677;3
22277715359;2
47044608201;4
90143755049;1
54830273639;6
97769113332;6
93685463829;3
61272415471;2
54962593198;3
29034937128;1
17528754878;5
69063863455;8
75094782148;8
24048436813;8
52634041330;6
20782323313;9
26294044671;3
37154459817;4
17496409678;3
63652830826;1
82608217018;9
10998289622;10
79178946475;8
77167076113;7
64495382101;4
74601812070;2
60259932410;2
57868430749;2
48848432922;10
81760026678;7
45778115962;3
77015198571;6
41187506381;10
15572411319;3
20240495266;3
41104078676;10
92222103901;10
50616145868;7
54178026764;10
47591194376;6
43891324006;1
34022924235;4
63223170697;9
68510241508;1
10105501010;4
81269127116;4
38435499777;9
86963320508;4
58825872377;10
15483292026;1
88342127908;8
73271027094;4
28671414767;7
37589970811;8
43199462825;10
39293628375;6
49864955872;4
12836517444;3
46821686565;5
27046979847;2
67466755285;10
25183099291;6
29370981317;7
52130956640;2
53988807493;4
62913813889;9
15755798595;5
65407197723;6
14288916738;2
65958452344;8
90935696745;7
13973629135;4
62041623744;6
49986895936;6
79991160022;1
52318678663;1
69735620154;1
40532888721;9
86363915968;9
91660053575;8
12100577380;7
43393968303;6
22489392878;5
66920008411;4
23816341809;4
27157581093;10
56165128960;3
91090978702;6
45374811119;10
55281180809;1
77299943897;6
22702515302;8
20026759095;6
57053225708;2
28865497271;7
75494123492;4
42410284947;2
55869616602;1
40367785014;8
54962375898;10
76655414934;5
42410284947;6
94143522498;1
46883587300;6
39468056587;6
78036958743;8
73199138979;3
84255264718;8
50257314448;7
63555447722;10
61942674636;10
35966325649;7
80699832454;4
74245960106;10
61201029256;8
99048424078;9
16080242043;2
17996610664;2
20741205464;7
42982801332;8
95055436709;9
52695195629;7
29103138322;9
66873232408;2
26908591233;9
10969942873;2
73083891556;4
87122812685;3
29092181368;3
10857655527;4
51588480066;1
97793949242;8
87161321817;5
18758785295;9
43684597644;1
44522067210;7
97052755982;6
65220396742;7
84489301652;3
64410955056;7
67316500891;8
96750417998;2
18598274527;4
18325172836;5
40588202839;6
48552953983;10
79702034690;7
55032329783;8
71244307962;5
22857778026;7
81300638476;2
31359603150;2
13969614467;10
10177478974;4
36326995094;9
59892747848;4
38819034559;2
32297089263;1
36693597356;7
31166914023;1
79634776360;5
27611285203;2
48262302534;9
93990829799;3
25944044217;1
33862726050;5
69309439045;5
30149744590;2
37719614812;6
90888956538;1
32581790522;3
55150032702;10
80432348900;4
92328627619;8
15892725657;10
77749381566;2
73948099243;1
24355169344;2
70366784809;10
50582426230;3
50376759926;9
72584467507;1
48511367597;3
39553184473;3
79891480061;4
68523296108;10
27227592949;3
48744797971;5
20349775909;9
48516987757;7
77840911123;8
82806052629;4
59672970666;6
21703945801;6
62529019598;8
24395729915;3
42844762894;1
45525884695;5
46199535556;5
51335922552;10
88498230834;9
68793320037;1
95981184858;10
66555863097;3
25592792120;10
20641507948;2
86781657972;8
89896639106;2
44077272995;3
80893626829;10
54310611013;1
74158968382;6
35916183779;10
41822763690;7
80270578474;8
20506897676;9
84318933698;1
10591847069;1
10984232685;3
74854925356;5
32761770890;4
27219355493;9
29542962668;1
94511880941;9
49786930161;1
25739357812;5
32997000998;1
61755279894;6
69712368484;5
58650468121;7
90360016554;1
68799226918;8
87078161911;5
54544214941;9
76423622146;4
82484890677;2
55320761448;2
87064494767;8
19651461919;2
91720399401;2
98069559643;10
98221025169;10
41027145532;9
17304469675;3
94809609752;5
45394130689;6
52634041330;7
63728269527;9
73263044395;6
45250546015;10
74117692229;2
68307868821;10
45456178171;8
40654309779;4
83498944125;1
58130274043;3
28244193461;5
46869358634;2
91720947183;9
43900762291;2
74032744837;4
52675574032;4
28637845074;8
28407016341;6
93641390011;7
56244847817;4
75461266322;7
28175859414;10
39130709300;5
47061243432;5
36017913525;8
43428799142;6
66940843993;1
58502862470;3
42054299843;6
50461530752;10
55522454674;4
66168709602;1
39468056587;8
30420735536;1
58779851610;10
10636639348;8
92458508252;6
21763454598;6
10661853289;9
14165856426;4
84168471387;10
60433855845;5
34750131768;2
63573101545;6
51462658492;5
43927927954;5
37970521702;9
36907844843;10
17444496902;3
41546851619;1
88827170650;6
14592026058;6
16140259750;3
19013783593;2
50571695017;10
85168329788;5
69456155488;2
81687104675;9
39651008714;4
27046979847;9
28656024746;6
37167327442;10
94602795025;10
71193673814;1
55185030731;3
95223074001;2
47113418197;5
58270280850;10
64905809353;8
30367789707;10
85777137255;1
89838028921;7
82111728224;5
19813017245;5
96449640483;5
86791877407;5
96657014618;2
34790148283;1
83864674169;9
82897485163;10
24068579407;6
67191453839;3
15927760861;4
57196535956;10
54006215551;3
61141629347;3
58056672136;2
19771266720;7
47867950624;2
82229491821;9
57838862550;2
84798787120;6
25953864531;4
70274205041;5
97148926324;1
11806365154;10
76084153592;2
42824968273;7
31293066233;8
50129543383;6
33008566094;5
22495809106;2
22865737118;6
23226594554;8
36044716840;10
97731672488;2
92586931240;3
74386880601;1
15050619056;6
41867303317;1
18437560023;8
94617278059;7
28510113487;6
59972174261;4
47122300575;7
74883844605;1
43565307416;6
12926602921;10
35914136868;10
22093882102;9
61437479569;7
55113894610;1
55299740930;7
34125273114;3
50960808437;7
31961827440;2
51345815017;5
48831605122;5
40978746378;9
23931137008;3
60157296587;9
39004761856;8
88117330572;2
94745741878;4
62517787181;5
33595446427;3
64642811261;9
70339475719;10
89838028921;1
64523250214;6
50273470438;6
77518162259;10
52110669143;10
55599671855;10
44689125426;6
20635825309;4
74844046374;8
13083314734;3
89125643259;6
63498837335;7
24733232052;8
69319544607;9
49711997502;3
36978137995;7
48000729943;8
61442808461;6
97118055040;10
30448207915;3
72068791137;1
23757545071;5
45598881968;2
44584992309;1
87455305369;3
27549518663;5
76403304932;10
46792611310;2
73967008589;5
85767215018;5
14153379267;6
57376676656;6
85886268113;7
19635402541;10
31656879623;9
26341759940;9
13891825924;5
20767276210;10
62927449919;9
30672925324;1
85819386954;2
70643856429;8
71025386973;1
38506433967;5
69531953853;8
91550679962;9
76349951413;7
99624907124;8
38510868839;3
27047080806;8
24533627063;4
11014963172;8
92221759308;6
90695071194;10
85769817969;3
88582660154;4
87152217336;8
21343895178;1
12928806668;2
86963726215;3
51725324477;7
49775909922;1
75120572101;10
10419283530;10
42557682272;1
47881663086;7
80976470606;4
85557998043;6
27707954289;10
51100598157;5
91875214698;3
42414069078;3
67189149087;5
72558940926;2
30168916679;7
10206431360;3
14086551345;4
53433685991;5
51546045551;10
97621604127;7
79798180272;1
26428027511;5
34159858417;5
85632169275;7
26926000418;7
10559100192;1
37297733439;9
51349489620;8
34526833212;5
29600305665;8
96110965899;6
80158917850;5
43037379236;6
71257310537;9
67171315768;7
89150184772;4
91870217498;9
46883573973;4
34238024508;2
54412491602;3
10998289622;8
93435012263;2
38971324467;8
85085939030;1
53617057844;8
64749265804;2
14523563214;3
79554253956;2
65622986434;5
53594688531;3
63893311225;7
80701883104;7
44306465586;7
59134854360;9
57193890361;1
26632306521;8
11836327543;8
78284966838;5
93758350873;4
55700891340;2
21136245496;8
60471983585;8
95419992092;9
38901519372;10
50272348842;10
65000167176;1
85517221065;5
69309439045;1
85937450322;2
64569051186;8
18288348400;1
97846337076;9
84995861736;2
79640643523;7
71944004213;5
11639407260;4
77172001922;10
64957010943;6
70660463549;7
35966325649;3
99602205845;1
19340115586;10
10875980256;10
33156510241;5
79355899669;3
92542662538;9
42344341106;9
28493340792;2
67861655118;9
52179494667;9
61614945737;4
54348237976;3
71356420673;6
56163335060;9
81460447921;5
58121386314;9
96234621331;5
82252068873;3
50870722055;2
85500770460;2
87869998598;9
26632306521;2
63813934663;6
64328419710;6
64551484341;7
51911118370;9
45850191570;3
86516026326;9
16999413317;4
88827170650;2
34920350060;6
46654482693;10
34698197669;10
30741415884;5
34568427452;2
96449640483;8
63922196167;5
65604676766;1
15241845518;7
53154737383;8
42950598984;9
21791088142;7
88470037780;6
60014608008;9
76372504873;1
16140259750;6
24678062420;4
77234598438;6
85769817969;4
47061967639;2
54087929593;3
37997369338;1
55086120666;9
78063083360;2
28658729950;5
99990550444;3
41276358583;7
16375590612;9
20767276210;5
48838207738;2
29340097221;7
31511251146;6
19324187997;4
56686922709;5
36826723719;1
90576141156;10
16035604490;5
14548860137;1
33394168214;9
23102548201;8
53635274267;9
98216653544;4
95571838812;3
48664587126;4
44118069640;2
45772120354;7
84494320144;7
74111476732;10
16252896159;6
56350099830;10
72662596080;2
74093578016;7
29370981317;6
38742589766;7
90632511947;3
43846114299;1
19026149002;1
46729258682;9
64587712668;9
17061535048;4
45412456302;5
65778143742;3
81894613652;7
14536438848;6
97667843604;3
73242918254;9
94271532765;4
34738590404;9
99204074423;3
87917810457;1
59867172340;9
44085654441;2
63840731133;1
57683088415;8
43030441588;7
82679988343;1
76249001580;6
46417350613;5
62230676075;3
73740007066;2
27051798472;5
35720235383;6
12324339825;9
45256315935;10
80691396262;5
49118315244;5
25815138350;5
72036388148;5
63071144253;5
50256904569;8
22858308494;5
42616665394;1
11146518499;4
99519486017;5
10586413313;6
35582741384;6
29725233674;7
52559816977;1
38236997575;8
81356690046;3
81291803763;9
59726000812;3
46326856450;2
41063510437;9
32761770890;6
34409445357;2
28986048087;10
45394130689;9
39286956393;1
58987301368;2
28459538344;5
26882535407;8
13282189962;3
30970649811;9
74842958123;3
88692950167;9
36297732903;9
15656894512;6
63728269527;3
77827069694;5
64691677783;2
19651461919;3
12820640279;6
33313384732;1
17500237983;7
20544552651;5
83299539485;3
94915886309;2
45123642235;2
83375049103;7
71069920672;2
23757545071;8
79815185460;10
95389556580;6
30617050962;10
97476386372;3
59796224145;8
41356609317;1
79044757219;9
58944356958;8
69776836189;2
26566192870;10
91610089746;9
25232260371;9
52695195629;3
84332839478;4
24601943122;9
26927388576;3
38559888538;3
73530019231;6
12554733148;7
11627803510;8
27872399016;6
52357449535;7
61755364448;8
39818046793;4
89274719018;5
62041623744;8
97396848086;5
99180642272;7
62357359461;7
71310624849;2
95911709038;10
74107623458;9
99170128600;1
51078354965;7
51349489620;3
43775339807;1
86251301952;6
13616793291;2
94511880941;9
29948017865;10
77930151091;3
55706114476;8
36487300281;10
29158897454;4
89012159942;1
96108182835;2
13906929466;7
91850447676;9
37959802806;8
57415058776;5
14892873434;3
42258543930;6
68488832508;5
73242918254;7
46210467297;1
30648419037;7
31686782553;2
19569206147;5
82150768360;5
48971358942;10
62199096831;6
61755279894;7
75970405195;10
57524321335;6
65302726826;3
29826208717;8
75694487246;2
30392970098;6
82441139641;6
12646060982;8
62263345625;5
50171050854;2
31610161331;10
59311127883;7
68793283515;1
51859548743;1
38238207950;6
67517854762;9
81300638476;3
31845951358;9
58270280850;8
63685524476;4
31004465921;8
88973370899;9
55379137745;7
59134854360;2
74963477854;3
96342616073;6
61942636622;9
88104419477;5
64762963622;2
57796856755;2
11883862487;1
88059783658;5
77488812137;4
48838207738;8
83958838985;7
55725218784;3
75266463741;3
41296778088;4
89831094293;7
55135677948;10
83442717516;1
18093210667;10
33120000488;10
61904324137;2
22967858533;10
49398946538;10
55801444399;2
65070756696;7
91757794105;7
28795011192;8
84974051728;2
76386524696;3
40940554776;5
86865701546;7
29006131079;8
86015722108;7
65774362943;6
88059783658;3
74388155552;1
69020665993;9
91616809853;6
87869998598;4
38776408388;2
54981269258;4
38752534494;4
82586339667;8
11062852306;3
87375993226;5
59515591590;3
41848149164;4
17679903489;3
20481079940;4
39400863816;10
27392294209;4
73205380300;1
53114690443;5
12609990413;1
82586339667;8
61740234780;1
25183099291;9
50013545405;6
83103805179;8
84841439226;3
23404721461;5
43570896934;1
25176202645;4
12729643841;2
85827989225;2
15368968202;4
85211223386;7
46654482693;2
81608182479;1
54368571276;3
38559013511;9
60284455705;4
73113423560;6
14710053174;7
24359957247;5
78336904634;2
57028601280;7
68691920976;3
17112700777;2
61263619662;9
59438114349;4
21094759005;1
56952537356;9
24091963800;6
24569580598;10
73271027094;1
22366919940;7
61240458620;3
60055551990;2
22349546394;4
66657401746;5
52265964138;4
14692367451;2
78485806322;4
51911118370;7
14327109886;6
17282387127;5
20541059595;4
67728447391;6
90174028737;1
47578927052;9
85055188797;7
13522128307;10
49701781985;1
58856134441;3
61760839612;10
81498117197;3
67517854762;9
90742068768;5
20735608964;3
60761177851;3
17982694578;5
90960677255;9
38114229805;2
38487530580;5
25592792120;6
19052289140;6
32456274424;4
97430765105;7
37819682818;6
59467066521;5
85523881684;5
47626897318;8
96630359483;4
79973166341;7
13716007213;10
61927747637;6
87926492738;6
47307672586;7
54679531275;4
20315114794;8
66265085588;3
44471149041;6
16056551319;5
55775106858;5
38148160252;8
19835023632;8
68496574809;2
20841391096;2
65861764049;5
21958197776;3
52357621429;1
98833107102;5
38971324467;4
90134864677;3
99678572251;9
14523563214;1
52739049168;9
19443438871;9
72187332248;3
38334777459;9
53774378787;8
39919125632;9
92011338424;1
23507328895;2
87630741314;5
90035889490;9
61263619662;9
65992652242;8
77473946630;3
14539837581;7
78788786633;4
93355318787;3
43226261880;10
50571695017;6
30396765677;5
87378195569;10
65690412488;2
13255935652;9
16861993251;5
90814849311;7
73883745522;3
49284114012;2
14330893298;3
28253348142;1
85771223401;5
64642811261;3
30293507239;5
55687634438;8
91550679962;2
55517429158;5
76018605257;5
18664368737;9
73234180941;2
76789550765;6
91616809853;7
20829536198;4
66709262681;9
93669317269;4
32630040291;5
75866262911;5
77518162259;9
97946099894;5
20958134403;8
81546125995;6
39757412147;10
76084153592;5
56450633299;10
66450864998;5
51892021079;5
13139527809;3
22740492440;1
85271638174;5
39322336585;1
63016238167;10
45281718022;4
39255361678;6
29060413772;8
32297089263;5
74032744837;8
59228951658;10
40113680616;2
42617135140;2
16674773471;2
49627110907;7
57474839548;10
64710360781;7
31045117633;8
15413363225;4
82586339667;5
75223774524;8
27536044639;5
48357726610;8
24228791797;8
99992749308;1
94594862088;8
45234487261;9
95498691294;7
46629124461;5
15356398211;4
78222067326;5
41744577765;7
86675384833;5
82557458193;2
66657401746;3
60055551990;2
95389556580;5
50567855953;4
94727014609;3
70792450575;3
13928708328;8
76178913089;4
90515177865;9
92310775689;10
87161321817;9
87546923093;7
17637000134;7
51194083217;7
21795049456;10
34176558066;10
59467066521;6
62333390421;10
81269127116;3
71489602029;2
93289292647;8
74285005985;7
29087955632;7
57907714469;8
45772120354;9
69472526941;2
82312650466;4
91304823662;2
39143639301;10
80736530655;2
14951644928;1
32925572988;1
43900762291;3
52905551162;9
21631601498;6
21649274457;8
26422308770;6
90188332942;10
93101115413;3
50950188248;6
89155529725;3
22657905729;1
63244662535;4
57012603252;6
10678523683;6
40773257818;2
32023974610;5
22962092284;8
25285410405;9
20923063541;5
14260343048;9
98045978490;8
12257031498;9
15789283166;8
68002920281;8
61725523812;1
36572250034;10
39550497258;1
52905551162;4
68106954504;1
32421265697;10
60979945798;4
38094605456;8
56772837030;8
78036958743;3
68348063795;4
21113166476;10
10231156269;7
22800375280;10
15892725657;4
14475417590;4
36314732158;6
12391123829;2
23199087856;2
45484934708;7
34794694762;3
69066935789;6
89898952814;2
41008494745;10
57642360138;1
80553616320;9
71084880324;7
38559013511;3
49888733521;3
